,url,prize,photographer,year
1448,https://www.worldpressphoto.org/collection/photo-contest/1997/lennart-nilsson/1,"Stories, 1st prize",Lennart Nilsson,1997
1449,https://www.worldpressphoto.org/collection/photo-contest/1997/john-mcconnico-sns/1,"Stories, 2nd prize",John McConnico,1997
1450,https://www.worldpressphoto.org/collection/photo-contest/1997/joseph-mcnally/1,"Singles, 1st prize",Joseph McNally,1997
1451,https://www.worldpressphoto.org/collection/photo-contest/1997/francis-latreille/1,"Singles, 2nd prize",Francis Latreille,1997
1452,https://www.worldpressphoto.org/collection/photo-contest/1997/james-balog/1,"Singles, 1st prize",James Balog,1997
1453,https://www.worldpressphoto.org/collection/photo-contest/1997/veronique-vial/1,"Stories, 3rd prize",Véronique Vial,1997
1454,https://www.worldpressphoto.org/collection/photo-contest/1997/nigel-parry/1,"Stories, 2nd prize",Nigel Parry,1997
1455,https://www.worldpressphoto.org/collection/photo-contest/1997/laurent-monlau/1,"Stories, 1st prize",Laurent Monlaü,1997
1456,https://www.worldpressphoto.org/collection/photo-contest/1997/harry-borden/1,"Singles, 3rd prize",Harry Borden,1997
1457,https://www.worldpressphoto.org/collection/photo-contest/1997/alex-koeleman/1,"Singles, 2nd prize",Alex Koeleman,1997
1458,https://www.worldpressphoto.org/collection/photo-contest/1997/don-bartletti/1,"Singles, 3rd prize",Don Bartletti,1997
1459,https://www.worldpressphoto.org/collection/photo-contest/1997/yves-leresche/1,"Stories, 3rd prize",Yves Leresche,1997
1460,https://www.worldpressphoto.org/collection/photo-contest/1997/stephan-vanfleteren-pns/1,"Stories, 2nd prize",Stephan Vanfleteren,1997
1461,https://www.worldpressphoto.org/collection/photo-contest/1997/francesco-zizola-pns/1,"Stories, 1st prize",Francesco Zizola,1997
1462,https://www.worldpressphoto.org/collection/photo-contest/1998/maciej-skawinski/1,"Stories, 3rd prize",Maciej Skawinski,1998
1463,https://www.worldpressphoto.org/collection/photo-contest/1998/hocine-pn/1,"Singles, 1st prize",Hocine ,1998
1464,https://www.worldpressphoto.org/collection/photo-contest/1998/gideon-mendel-gns/1,"Stories, 1st prize",Gideon Mendel,1998
1465,https://www.worldpressphoto.org/collection/photo-contest/1998/francesco-zizola-gns/1,"Stories, 2nd prize",Francesco Zizola,1998
1466,https://www.worldpressphoto.org/collection/photo-contest/1998/xavier-desmier/1,"Singles, 1st prize",Xavier Desmier,1998
1467,https://www.worldpressphoto.org/collection/photo-contest/1998/susan-watts-ot/1,"Singles, Individual awards",Susan Watts,1998
1468,https://www.worldpressphoto.org/collection/photo-contest/1998/jim-leachman-na/1,"Singles, 3rd prize",Jim Leachman,1998
1469,https://www.worldpressphoto.org/collection/photo-contest/1998/gideon-mendel-nas/1,"Stories, 1st prize",Gideon Mendel,1998
1470,https://www.worldpressphoto.org/collection/photo-contest/1998/gilles-nicolet/1,"Stories, 2nd prize",Gilles Nicolet,1998
1471,https://www.worldpressphoto.org/collection/photo-contest/1998/jim-leachman-nas/1,"Stories, 3rd prize",Jim Leachman,1998
1472,https://www.worldpressphoto.org/collection/photo-contest/1998/perry-kretz/1,"Singles, 3rd prize",Perry Kretz,1998
1473,https://www.worldpressphoto.org/collection/photo-contest/1998/arthur-harvey/1,"Singles, 2nd prize",Arthur Harvey,1998
1474,https://www.worldpressphoto.org/collection/photo-contest/1998/francesco-zizola-gn/1,"Singles, 1st prize",Francesco Zizola,1998
1475,https://www.worldpressphoto.org/collection/photo-contest/1998/zed-nelson/1,"Singles, 1st prize",Zed Nelson,1998
1476,https://www.worldpressphoto.org/collection/photo-contest/1998/jeremy-nicholl/1,"Stories, 2nd prize",Jeremy Nicholl,1998
1477,https://www.worldpressphoto.org/collection/photo-contest/1998/susan-watts-dls/1,"Stories, 1st prize",Susan Watts,1998
1478,https://www.worldpressphoto.org/collection/photo-contest/1998/christopher-steele-perkins/1,"Singles, 3rd prize",Christopher Steele-Perkins,1998
1479,https://www.worldpressphoto.org/collection/photo-contest/1998/chien-chi-chang/1,"Singles, 2nd prize", Chien-Chi Chang,1998
1480,https://www.worldpressphoto.org/collection/photo-contest/1998/susan-watts-ca/1,"Singles, Individual awards",Susan Watts,1998
