initial index,Path,Colors_RGB
331,F:\Temp\1967\Karel E. Vereecken\1.jpg,"[[245, 245, 245], [73, 73, 73], [152, 152, 152], [204, 204, 204], [107, 107, 107]]"
332,F:\Temp\1967\Roland Witschel\1.jpg,"[[73, 73, 73], [169, 169, 169], [119, 119, 119], [228, 228, 228], [25, 25, 25]]"
333,F:\Temp\1967\Fred Ihrt\3.jpg,"[[34, 34, 34], [159, 159, 159], [83, 83, 83], [199, 199, 199], [117, 117, 117]]"
334,F:\Temp\1967\Fred Ihrt\2.jpg,"[[244, 244, 244], [81, 81, 81], [195, 195, 195], [32, 32, 32], [133, 133, 133]]"
335,F:\Temp\1967\Thomas Hoepker\6.jpg,"[[136, 136, 136], [41, 41, 41], [239, 239, 239], [83, 83, 83], [183, 183, 183]]"
336,F:\Temp\1967\Thomas Hoepker\5.jpg,"[[85, 85, 85], [188, 188, 188], [142, 142, 142], [38, 38, 38], [243, 243, 243]]"
337,F:\Temp\1967\Georg Munker\1.jpg,"[[46, 46, 46], [176, 176, 176], [92, 92, 92], [133, 133, 133], [62, 62, 62]]"
338,F:\Temp\1967\Georg Munker\1.jpg,"[[46, 46, 46], [176, 176, 176], [92, 92, 92], [133, 133, 133], [62, 62, 62]]"
339,F:\Temp\1967\Fred Ihrt\6.jpg,"[[118, 118, 118], [72, 72, 72], [173, 173, 173], [235, 235, 235], [30, 30, 30]]"
340,F:\Temp\1967\Thomas Hoepker\2.jpg,"[[203, 203, 203], [71, 71, 71], [159, 159, 159], [30, 30, 30], [113, 113, 113]]"
341,F:\Temp\1967\Peter Elinskas\1.jpg,"[[32, 32, 32], [207, 207, 207], [110, 110, 110], [158, 158, 158], [70, 70, 70]]"
342,F:\Temp\1967\Thomas Hoepker\1.jpg,"[[158, 158, 158], [254, 254, 254], [54, 54, 54], [192, 192, 192], [114, 114, 114]]"
343,F:\Temp\1967\Thomas Hoepker\6.jpg,"[[136, 136, 136], [41, 41, 41], [239, 239, 239], [83, 83, 83], [183, 183, 183]]"
344,F:\Temp\1967\Ernst Saxer\1.jpg,"[[218, 218, 218], [76, 76, 76], [156, 156, 156], [120, 120, 120], [192, 192, 192]]"
345,F:\Temp\1967\Fred Ihrt\4.jpg,"[[128, 128, 128], [23, 23, 23], [239, 239, 239], [159, 159, 159], [99, 99, 99]]"
346,F:\Temp\1967\Fred Ihrt\1.jpg,"[[36, 36, 36], [110, 110, 110], [195, 195, 195], [76, 76, 76], [152, 152, 152]]"
347,F:\Temp\1967\Gérard Klijn\1.jpg,"[[37, 37, 37], [200, 200, 200], [117, 117, 117], [71, 71, 71], [164, 164, 164]]"
348,F:\Temp\1968\Victor Budan\1.jpg,"[[231, 231, 231], [60, 59, 57], [114, 114, 112], [22, 22, 20], [179, 178, 176]]"
349,F:\Temp\1968\Max Scheler\1.jpg,"[[54, 54, 54], [188, 188, 188], [128, 128, 128], [32, 32, 32], [246, 246, 246]]"
350,F:\Temp\1968\Gérard Klijn\2.jpg,"[[57, 57, 57], [188, 188, 188], [27, 27, 27], [95, 95, 95], [142, 142, 142]]"
351,F:\Temp\1968\Gérard Klijn\4.jpg,"[[14, 14, 14], [131, 131, 131], [78, 78, 78], [188, 188, 188], [40, 40, 40]]"
352,F:\Temp\1968\Gérard Klijn\5.jpg,"[[13, 13, 13], [130, 130, 130], [49, 49, 49], [92, 92, 92], [178, 178, 178]]"
353,F:\Temp\1968\Eddie Adams\1.jpg,"[[215, 215, 215], [37, 37, 37], [132, 132, 132], [86, 86, 86], [177, 177, 177]]"
354,F:\Temp\1968\Gérard Klijn\1.jpg,"[[61, 61, 61], [121, 121, 121], [89, 89, 89], [157, 157, 157], [36, 36, 36]]"
355,F:\Temp\1968\Gianfranco Moroldo\1.jpg,"[[169, 151, 114], [135, 160, 202], [79, 70, 66], [199, 190, 160], [115, 102, 84]]"
356,F:\Temp\1968\David Paynter\1.jpg,"[[92, 92, 92], [181, 181, 181], [138, 138, 138], [222, 222, 222], [48, 48, 48]]"
357,F:\Temp\1968\Max Scheler\10.jpg,"[[14, 14, 14], [176, 176, 176], [232, 232, 232], [72, 72, 72], [131, 131, 131]]"
358,F:\Temp\1968\Pedro Luis Raota\4.jpg,"[[171, 171, 171], [51, 51, 51], [202, 202, 202], [89, 89, 89], [131, 131, 131]]"
359,F:\Temp\1968\Igor Utkin\3.jpg,"[[164, 164, 164], [75, 75, 75], [119, 119, 119], [32, 32, 32], [212, 212, 212]]"
360,F:\Temp\1968\Pedro Luis Raota\4.jpg,"[[171, 171, 171], [51, 51, 51], [202, 202, 202], [89, 89, 89], [131, 131, 131]]"
361,F:\Temp\1968\Frank Hoy\1.jpg,"[[89, 89, 89], [30, 30, 30], [200, 200, 200], [134, 134, 134], [56, 56, 56]]"
362,F:\Temp\1968\Eddie Adams\1.jpg,"[[215, 215, 215], [37, 37, 37], [132, 132, 132], [86, 86, 86], [177, 177, 177]]"
363,F:\Temp\1968\David Paynter\1.jpg,"[[92, 92, 92], [181, 181, 181], [138, 138, 138], [222, 222, 222], [48, 48, 48]]"
364,F:\Temp\1968\Max Scheler\3.jpg,"[[241, 241, 241], [95, 95, 95], [135, 135, 135], [53, 53, 53], [191, 191, 191]]"
365,F:\Temp\1968\Hilmar Pabel\3.jpg,"[[167, 167, 167], [42, 42, 42], [117, 117, 117], [217, 217, 217], [77, 77, 77]]"
366,F:\Temp\1968\Pedro Luis Raota\3.jpg,"[[149, 149, 149], [58, 58, 58], [198, 198, 198], [97, 97, 97], [175, 175, 175]]"
367,F:\Temp\1968\Gérard Klijn\4.jpg,"[[14, 14, 14], [131, 131, 131], [78, 78, 78], [188, 188, 188], [40, 40, 40]]"
368,F:\Temp\1968\Douglas Miller\1.jpg,"[[52, 52, 52], [205, 205, 205], [89, 89, 89], [135, 135, 135], [181, 181, 181]]"
369,F:\Temp\1968\Max Scheler\1.jpg,"[[54, 54, 54], [188, 188, 188], [128, 128, 128], [32, 32, 32], [246, 246, 246]]"
370,F:\Temp\1968\Ron Bennett\1.jpg,"[[132, 132, 132], [35, 35, 35], [215, 215, 215], [73, 73, 73], [182, 182, 182]]"
371,F:\Temp\1968\Gérard Klijn\2.jpg,"[[57, 57, 57], [188, 188, 188], [27, 27, 27], [95, 95, 95], [142, 142, 142]]"
